Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
5264,52.640010,-0.161272228,-0.0577283651,9.98135757,-0.162861332,-0.0646655336,10.0279474,0.0202400237,0.0181094967,-0.00319579337,0.0223672427,0.0168111492,-0.00426712213
5265,52.649980,-0.161135703,-0.0557535626,9.98293209,-0.17962648,-0.0694555715,9.9776516,0.023435818,0.0159789659,-0.00532632228,0.0224510245,0.0167282559,-0.00449944474
5266,52.660001,-0.161714524,-0.0563321859,9.98617649,-0.141306162,-0.059875492,9.95609665,0.0213052891,0.0149137024,-0.00639158674,0.022471521,0.0164059494,-0.00468612788
5267,52.670002,-0.167851716,-0.0634143725,9.98905373,-0.189206555,-0.0958007872,10.0111818,0.0223705545,0.0170442313,-0.00532632228,0.0229982305,0.0164824799,-0.00444597937
5268,52.680010,-0.161161244,-0.0603958219,9.99002266,-0.162861332,-0.0670605525,10.066268,0.0213052891,0.0170442313,-0.00426105782,0.0225583464,0.0164475199,-0.00509424089
5269,52.690000,-0.16612497,-0.0631305203,9.99025631,-0.196391612,-0.0790356472,9.94651699,0.0202400237,0.0181094967,-0.00213052891,0.0218889359,0.0164117739,-0.00546556711
5270,52.700000,-0.159941301,-0.0665631816,9.9830904,-0.138911143,-0.0335302763,9.98723221,0.0202400237,0.0170442313,-0.00532632228,0.0208397787,0.0159839615,-0.00507779233
5271,52.709980,-0.165234655,-0.0515889898,9.98395729,-0.186811537,-0.100590825,9.98483658,0.0245010816,0.0170442313,-0.00319579337,0.0215343069,0.01569313,-0.00468645245
5272,52.719999,-0.165291905,-0.0626970083,9.976017,-0.158071294,-0.0550854504,9.93214607,0.0223705545,0.0159789659,-0.00639158674,0.0215517599,0.0160235297,-0.00453153811
5273,52.729999,-0.172064453,-0.0621978939,9.97140789,-0.162861332,-0.0622705109,9.98723221,0.0255663469,0.0181094967,-0.00106526446,0.0224310886,0.0165527649,-0.00370752742
5274,52.740009,-0.168639034,-0.0676196516,9.98281002,-0.148491219,-0.0670605525,10.0303421,0.0202400237,0.0159789659,-0.00745685119,0.0227015857,0.0162238963,-0.00411218451
5275,52.749979,-0.16877602,-0.0570978448,9.97909927,-0.16765137,-0.0263452157,10.0063925,0.0213052891,0.0159789659,-0.00213052891,0.0209414586,0.0164539292,-0.00427928613
5276,52.759999,-0.163519993,-0.0532922931,9.97454834,-0.172441408,-0.0814306661,9.97046661,0.0223705545,0.0159789659,-0.00745685119,0.0212822277,0.0155302119,-0.00448583392
5277,52.770010,-0.157037258,-0.0578016229,9.96545696,-0.193996593,-0.0838256851,9.98962688,0.0245010816,0.0159789659,-0.00426105782,0.0216544289,0.0161256362,-0.00576338032
5278,52.780009,-0.170250371,-0.057120204,9.97393227,-0.150886238,-0.117355965,10.0039968,0.023435818,0.0149137024,-0.00426105782,0.0226067156,0.0158209391,-0.00561136939
