Index,Time,((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).accG).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).mpu6500).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[0],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[1],((((((aruwsrc::motor_tester::DriversSingleton::drivers).fusedImu).imuData).gyroRadPerSec).coordinates_).data)._M_elems[2]
2248,22.479995,-0.00790926348,-0.00870672055,9.81885815,-0.030637091,-0.0109835379,9.82074642,0.000667919638,-0.00111746322,-0.00186953903,-0.0004089594,-0.000685528794,-0.000244090799
2249,22.490010,-0.00347065972,-0.00304715475,9.80996799,-0.011476934,0.00578159932,9.78961182,-0.00146260927,0.00101306569,0.000260989909,-0.000863015768,-0.000372210197,-0.000193536631
2250,22.499995,-0.0105115287,-0.0104172807,9.80919361,-0.0426121876,-0.0229586363,9.83032608,-0.000397344818,0.00101306569,-0.00293480349,-0.000357283425,-0.000187627607,-0.000787664903
2251,22.510002,-0.0108974371,-0.0137172025,9.80687618,0.0124732628,0.00817661919,9.81116676,-0.00146260927,-5.21987458e-05,-0.00186953903,-0.000254443294,0.000172385684,-0.000267318159
2252,22.519994,-0.0146495197,-0.0101641305,9.82337093,-0.0162669737,-0.00379847945,9.8925972,0.000667919638,0.00101306569,-0.000804274518,-0.00032228927,0.000586202485,-0.000964745297
2253,22.529995,-0.00755250361,-0.0121662878,9.80368519,0.0388184786,-0.0157735776,9.75608158,0.000667919638,0.00101306569,-0.000804274518,-0.00026205153,0.000654541771,-0.00115694595
2254,22.539976,-0.0123951323,-0.0131697282,9.79525185,-0.0282420702,-0.027748676,9.7967968,-0.00146260927,0.00101306569,-0.00293480349,-0.000976120413,0.000658253382,-0.00149066467
2255,22.549994,-0.0107906237,-0.00448148884,9.79206657,-0.00189685507,0.00817661919,9.77763653,-0.000397344818,0.00207833014,-0.000804274518,-0.0013896809,0.00126795261,-0.00114291091
2256,22.559994,-0.0170135833,-0.0114108287,9.79640388,-0.0234520324,0.012966658,9.80877209,-0.000397344818,0.00101306569,-0.000804274518,-0.00116833171,0.00146603386,-0.000542007096
2257,22.569994,-0.0080467239,-0.0142588653,9.81173038,-0.00189685507,-0.0445138142,9.86385632,-0.000397344818,-0.00218272768,0.000260989909,-0.000629790593,-0.000143281068,-0.000963844475
