Index, Time     , (odometrySubsystem).z[0], (odometrySubsystem).z[1], (odometrySubsystem).z[2], (odometrySubsystem).z[3], (odometrySubsystem).z[4], (odometrySubsystem).z[5], (odometrySubsystem).z[6], (odometrySubsystem).z[7]
  273,  2.730118, -2.54641128             , -2.38850713             , -2.43393898             , -2.29598093             , -1.07507789             , -20.3647728             ,            10.8422613   , 0.151977777
  274,  2.739982, -2.53145194             , -2.42562819             , -2.47327685             , -2.34584546             , 0.292954773             , -15.6048527             ,            10.8933945   , 0.263191462
  275,  2.750009, -2.52923584             , -2.43061495             , -2.49876285             , -2.32977796             , 1.54319715              , -16.939003              ,            10.9051123   , 0.373542547
  276,  2.759979, -2.53920865             , -2.46995258             , -2.46995258             , -2.37465596             , 2.53685093              , -19.2624092             ,            10.9530487   , 0.481781244
  277,  2.769983, -2.50596571             , -2.44668221             , -2.53145194             , -2.38850713             , 4.87064409              , -19.8167953             ,            11.0137691   , 0.589927912
  278,  2.780004, -2.54419518             , -2.43947983             , -2.50707364             , -2.3630209              , 5.10823154              , -19.0344906             ,            11.0393353   , 0.698170424
  279,  2.789985, -2.54973531             , -2.42452025             , -2.51372242             , -2.41177726             , 10.7044621              , -13.8795376             ,            11.1469269   , 0.806313276
  280,  2.800009, -2.53810048             , -2.41898012             , -2.55804634             , -2.40512848             , 8.05516434              , -13.9156256             ,            11.1682329   , 0.920310259
  281,  2.809989, -2.54641128             , -2.47770929             , -2.53699231             , -2.43393898             , 16.2885857              , -15.3690939             ,            11.1948643   , 1.03305745
  282,  2.820007, -2.54751921             , -2.47937131             , -2.55195165             , -2.42452025             , 13.8086767              , -12.297471              ,            11.2779551   , 1.14043379
  283,  2.829987, -2.56469488             , -2.45720935             , -2.56746507             , -2.45333099             , 13.2265015              , -8.41886425             ,            11.2971296   , 1.25260592
  284,  2.840042, -2.56857324             , -2.46385789             , -2.59405947             , -2.47770929             , 16.1575069              , -8.27393055             ,            11.3557196   , 1.36142302
  285,  2.850118, -2.57854605             , -2.46274996             , -2.5929513              , -2.46274996             , 18.3031559              , -8.87213516             ,            11.3780899   , 1.4700489
  286,  2.859983, -2.58464074             , -2.50485754             , -2.62286997             , -2.45720935             , 16.6609726              , -3.46145201             ,            11.4217653   , 1.58126259
  287,  2.870009, -2.6217618              , -2.49322248             , -2.58685684             , -2.48380351             , 20.4826717              , -1.88800955             ,            11.4771595   , 1.69372225
  288,  2.879988, -2.6045866              , -2.49322248             , -2.59184337             , -2.45333099             , 19.9676533              , -3.35516548             ,            11.4899426   , 1.80905771
  289,  2.890008, -2.62730241             , -2.55915451             , -2.61843753             , -2.50097919             , 19.2423649              , 2.37745094              ,            11.5197697   , 1.92708015
  290,  2.899978, -2.63782954             , -2.57522178             , -2.59184337             , -2.48601985             , 20.3445454              , 3.49341512              ,            11.559185    , 2.04509878
  291,  2.910010, -2.65168071             , -2.56968141             , -2.62397814             , -2.49654675             , 19.1803036              , 2.79914474              ,            11.5538588   , 2.16101265
  292,  2.919980, -2.66940999             , -2.58353257             , -2.62841058             , -2.55472183             , 14.1101923              , 9.26579857              ,            11.6252308   , 2.27931881
  293,  2.930000, -2.68104529             , -2.57632995             , -2.58464074             , -2.49987102             , 19.4232216              , 10.5991087              ,            11.684886    , 2.39772463
  294,  2.940012, -2.67827511             , -2.57632995             , -2.65445089             , -2.6068027              , 16.9093056              , 9.78677082              ,            11.6699724   , 2.5218811
  295,  2.950007, -2.68547773             , -2.60292435             , -2.62065387             , -2.62286997             , 11.5337763              , 15.0302696              ,            11.7317572   , 2.64498329
  296,  2.960007, -2.68990993             , -2.61234307             , -2.60791063             , -2.53145194             , 14.9400091              , 16.065403               ,            11.7924776   , 2.76588082
  297,  2.969987, -2.70653176             , -2.63782954             , -2.65057278             , -2.56857324             , 8.95677376              , 15.7806654              ,            11.777564    , 2.86319327
  298,  2.980009, -2.71428823             , -2.6749506              , -2.65168071             , -2.56137061             , 7.11405373              , 20.7970753              ,            11.8468056   , 2.98015785
  299,  2.989980, -2.70763969             , -2.65168071             , -2.60181642             , -2.54641128             , 9.37395477              , 22.2875729              ,            11.8574591   , 3.10268497
  300,  3.000009, -2.7281394              , -2.66109943             , -2.67827511             , -2.5824244              , 5.19733715              , 18.5027466              ,            11.9149828   , -3.05327702
  301,  3.009979, -2.75750422             , -2.70265317             , -2.65555906             , -2.56247854             , -1.59357083             , 23.0213928              ,            11.9767685   , -2.93630886
  302,  3.020001, -2.76526093             , -2.6622076              , -2.68436956             , -2.57078958             , -0.163743213            , 24.2353706              ,            11.9298964   , -2.81464839
  303,  3.029982, -2.78631473             , -2.6771667              , -2.71705866             , -2.57411361             , -0.373855382            , 20.5803738              ,            11.9991388   , -2.70017195
  304,  3.040002, -2.80349016             , -2.68104529             , -2.70265317             , -2.53255987             , -9.03936768             , 17.767849               ,            12.0822296   , -2.58387852
  305,  3.049983, -2.80736828             , -2.65666723             , -2.69101834             , -2.6045866              , -6.78676128             , 21.4830647              ,            12.0566635   , -2.46259737
  306,  3.060003, -2.83617902             , -2.64115357             , -2.70376134             , -2.59849191             , -9.46405602             , 19.385973               ,            12.1056652   , -2.34093285
  307,  3.069984, -2.82011151             , -2.69711256             , -2.71207213             , -2.54751921             , -12.5703239             , 16.3629265              ,            12.1589289   , -2.2248311
  308,  3.080002, -2.82565212             , -2.77135515             , -2.7109642              , -2.58020806             , -15.112999              , 14.4850674              ,            12.1781034   , -2.10834646
  309,  3.089982, -2.82121992             , -2.82343626             , -2.72592354             , -2.60181642             , -15.3992472             , 15.420661               ,            12.1866255   , -1.99224043
  310,  3.100004, -2.82676029             , -2.79462504             , -2.7214911              , -2.59960008             , -19.6733608             , 12.6421967              ,            12.2121916   , -1.87220907
  311,  3.109986, -2.81512547             , -2.78520656             , -2.7364502              , -2.62730241             , -19.248476              , 4.5152936               ,            12.255868    , -1.75188637
  312,  3.120006, -2.82454395             , -2.75030136             , -2.7386663              , -2.6217618              , -21.095871              , 7.6036005               ,            12.2750425   , -1.63089275
  313,  3.130008, -2.83839536             , -2.79905772             , -2.74476099             , -2.613451               , -24.6790943             , 5.23519182              ,            12.2803688   , -1.50664043
  314,  3.139988, -2.84670615             , -2.7746799              , -2.75750422             , -2.6356132              , -22.1033611             , -0.943953097            ,            12.3059349   , -1.38210058
  315,  3.150005, -2.87884068             , -2.73423386             , -2.78742266             , -2.64115357             , -19.4593639             , -2.72863173             ,            12.348546    , -1.25851917
  316,  3.159984, -2.90321898             , -2.76415277             , -2.80238223             , -2.62619424             , -23.812458              , -0.609824479            ,            12.3453493   , -1.13206244
  317,  3.170004, -2.90100265             , -2.76803112             , -2.79462504             , -2.60569453             , -25.0936375             , -7.25314331             ,            12.3847647   , -1.0056057
  318,  3.179986, -2.91762424             , -2.7214911              , -2.83728719             , -2.64004564             , -18.0592194             , -10.8253431             ,            12.4177876   , -0.872244358
  319,  3.190002, -2.93258381             , -2.75140953             , -2.82897663             , -2.65555906             , -22.1973152             , -11.5443249             ,            12.4401579   , -0.748758793
  320,  3.199982, -2.91153002             , -2.7746799              , -2.84227347             , -2.6622076              , -19.0589619             , -13.7362757             ,            12.4731817   , -0.61980629
  321,  3.210000, -2.91485429             , -2.7663691              , -2.86609745             , -2.67605877             , -13.9236822             , -17.1884785             ,            12.5402927   , -0.497378826
  322,  3.219980, -2.9187324              , -2.74808502             , -2.86166549             , -2.6993289              , -16.0775242             , -20.0380363             ,            12.5765123   , -0.367275715
  323,  3.230016, -2.93036771             , -2.75639582             , -2.87108421             , -2.67827511             , -12.6343307             , -21.0011177             ,            12.5935564   , -0.23372221
  324,  3.239999, -2.93479991             , -2.76526093             , -2.86886787             , -2.69600463             , -8.21326828             , -21.062048              ,            12.6457548   , -0.110239506
  325,  3.249979, -2.93036771             , -2.77357149             , -2.88271928             , -2.67384267             , -6.59028625             , -24.063179              ,            12.6766472   , 0.0213973522
  326,  3.260003, -2.96028614             , -2.77024746             , -2.89878654             , -2.65278888             , -2.57939506             , -22.3177376             ,            12.6862345   , 0.141238093
  327,  3.269986, -2.97302938             , -2.7630446              , -2.89878654             , -2.6749506              , -0.227395967            , -22.9852657             ,            12.7267141   , 0.27191329
  328,  3.280006, -2.97302938             , -2.78188229             , -2.88604355             , -2.6993289              , 2.6564064               , -27.556284              ,            12.7405624   , 0.400096774
  329,  3.290020, -2.95197558             , -2.77689576             , -2.91596198             , -2.70265317             , 6.35099649              , -22.9907608             ,            12.7458897   , 0.523679972
  330,  3.300008, -2.96250224             , -2.78299046             , -2.89657021             , -2.72370744             , 10.2230539              , -19.1218796             ,            12.7906303   , 0.650809526
  331,  3.309999, -2.93369198             , -2.77800393             , -2.89158392             , -2.75030136             , 12.8548145              , -21.3057327             ,            12.818327    , 0.777072668
  332,  3.319978, -2.92427301             , -2.79794979             , -2.87884068             , -2.74586868             , 14.8038378              , -24.0366058             ,            12.8257837   , 0.901326895
  333,  3.329980, -2.91374636             , -2.82786822             , -2.89767861             , -2.79074693             , 18.1203423              , -16.7067871             ,            12.8726559   , 1.03018177
  334,  3.339983, -2.90820551             , -2.84670615             , -2.90931392             , -2.78188229             , 18.9427395              , -11.5464821             ,            12.8960915   , 1.1587491
  335,  3.350008, -2.9431107              , -2.88604355             , -2.93147564             , -2.75362587             , 20.3512459              , -15.4457235             ,            12.8928957   , 1.28520727
  336,  3.359989, -2.9558537              , -2.85944915             , -2.91762424             , -2.80127382             , 24.1663761              , -12.8343315             ,            12.906744    , 1.41137409
  337,  3.369999, -2.96139431             , -2.83285475             , -2.93590808             , -2.82343626             , 24.654335               , -6.59959698             ,            12.9525509   , 1.5333271
  338,  3.379985, -2.98134017             , -2.81512547             , -2.93923235             , -2.80515218             , 24.2047672              , -4.60405397             ,            12.9909      , 1.65959311
  339,  3.389987, -2.97856998             , -2.83507109             , -2.92538095             , -2.82676029             , 24.4700661              , -3.50243258             ,            12.9887695   , 1.78988457
  340,  3.400005, -2.9697051              , -2.87551665             , -2.91596198             , -2.83728719             , 24.7074413              , 0.865924418             ,            13.0377712   , 1.92132998
  341,  3.409986, -2.99740767             , -2.90820551             , -2.92870522             , -2.83063865             , 23.5802536              , 6.53249121              ,            13.062273    , 2.05746794
  342,  3.420008, -2.99962401             , -2.91042185             , -2.93369198             , -2.81512547             , 24.4642773              , 5.44709396              ,            13.0814476   , 2.16293097
  343,  3.430007, -2.99020481             , -2.89158392             , -2.91762424             , -2.84781432             , 23.5193596              , 8.82795048              ,            13.1240578   , 2.29782629
  344,  3.439987, -2.99020481             , -2.92538095             , -2.94532704             , -2.86498952             , 17.5571728              , 14.0436068              ,            13.1698647   , 2.42821312
  345,  3.450008, -2.99629951             , -2.89767861             , -2.9580698              , -2.88271928             , 18.9402733              , 20.5136929              ,            13.1986265   , 2.56837988
  346,  3.459989, -3.03231263             , -2.88604355             , -2.97635365             , -2.84670615             , 18.0970306              , 19.1062927              ,            13.2316494   , 2.70567107
  347,  3.470001, -3.02732611             , -2.94532704             , -2.96139431             , -2.86886787             , 13.923358               , 20.7503052              ,            13.2561512   , 2.84324956
  348,  3.479981, -3.03563714             , -2.9580698              , -2.95696187             , -2.86166549             , 9.20797729              , 26.4790897              ,            13.2913046   , 2.97871971
  349,  3.490009, -3.05890727             , -2.95419168             , -2.9846642              , -2.83507109             , 7.26903772              , 26.1304016              ,            13.3040876   , 3.11064363
  350,  3.499979, -3.06666398             , -2.91984057             , -2.97192121             , -2.86775994             , 4.10278702              , 22.6281376              ,            13.2976961   , -3.03755093
  351,  3.509999, -3.06555557             , -2.94754314             , -2.98355627             , -2.86609745             , 0.466540396             , 23.4707222              ,            13.3243275   , -2.8958509
  352,  3.520003, -3.08882546             , -2.98798871             , -2.98798871             , -2.81789541             , -5.50065565             , 32.5470924              ,            13.3626776   , -2.76402307
  353,  3.529984, -3.08106899             , -2.97192121             , -2.99519157             , -2.83063865             , -6.8870573              , 27.9770699              ,            13.3509598   , -2.6329658
  354,  3.540006, -3.09602833             , -2.95086741             , -2.97081351             , -2.85113859             , -6.96101665             , 21.2726402              ,            13.3680038   , -2.50362968
  355,  3.549986, -3.0927043              , -2.91485429             , -2.97635365             , -2.82897663             , -11.1281424             , 20.0509148              ,            13.4074183   , -2.36729717
  356,  3.560003, -3.10987949             , -2.96028614             , -3.00571823             , -2.84670615             , -20.4033718             , 25.0063801              ,            13.4329844   , -2.23461056
  357,  3.569984, -3.11320376             , -2.98355627             , -2.96859717             , -2.89047599             , -21.5192986             , 19.8826656              ,            13.4255276   , -2.10460377
  358,  3.580005, -3.10156894             , -3.0334208              , -3.00793433             , -2.88936782             , -16.8715668             , 15.2339611              ,            13.4606819   , -1.97651768
  359,  3.589988, -3.0749743              , -3.07165003             , -3.01236677             , -2.88161111             , -19.8256893             , 11.5404406              ,            13.4809217   , -1.84651089
  360,  3.600007, -3.08660913             , -3.09824467             , -3.00793433             , -2.88161111             , -26.6085377             , 12.0437431              ,            13.4628124   , -1.7166996
  361,  3.609989, -3.0971365              , -3.11431193             , -2.99740767             , -2.90931392             , -28.4640465             , 8.38266754              ,            13.473465    , -1.58314657
  362,  3.619999, -3.08439302             , -3.07165003             , -3.00405622             , -2.91042185             , -24.2300625             , 3.75723076              ,            13.4937048   , -1.44710112
  363,  3.629981, -3.09935284             , -3.04727197             , -3.03674507             , -2.88825989             , -22.9950218             , -1.54646611             ,            13.5565557   , -1.31326056
  364,  3.640009, -3.11541986             , -3.02843428             , -2.99519157             , -2.89047599             , -24.2344074             , -4.35283232             ,            13.5395117   , -1.1772151
  365,  3.649978, -3.13093352             , -3.02843428             , -3.04505587             , -2.90100265             , -27.6742268             , -8.35002613             ,            13.5757303   , -1.03723955
  366,  3.660005, -3.15364909             , -2.99519157             , -3.08439302             , -2.92205667             , -24.5588951             , -12.7230511             ,            13.6002312   , -0.897071838
  367,  3.669984, -3.15641999             , -2.98023176             , -3.0727582              , -2.91485429             , -26.113615              , -12.9307842             ,            13.5842524   , -0.754795551
